"event","experiment time","system time","system time text"
"START",0.000000000E0,1732688156.571,"2024-11-27 06:15:56.571 UTCZ"
"PAUSE",3.923614574E0,1732688160.494,"2024-11-27 06:16:00.494 UTCZ"
